,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
31534,1.1681004612,1.1681004612,1.1207782437,1.1307995986,23410839.2126587,746750215.32504,2019-11-13T23:59:59.999Z,Tezos,2019-11-13
31535,186.942441671,189.331878003,185.937949171,188.258745224,7343173595.61632,20434064781.4449,2019-11-13T23:59:59.999Z,Ethereum,2019-11-13
31536,8812.03362864,8836.84179047,8761.6511216,8808.2625823,17545755404.6043,158949942842.024,2019-11-13T23:59:59.999Z,Bitcoin,2019-11-13
31537,1.002513727,1.008559119,1.0005315615,1.0043768839,221641562.562242,449163234.294827,2019-11-13T23:59:59.999Z,USD Coin,2019-11-13
31538,0.0352051439,0.0354083307,0.0334444051,0.0351396784,2923369.14721217,23827966.7153566,2019-11-13T23:59:59.999Z,Hedera,2019-11-13
31539,0.013641388,0.0151435932,0.0134375946,0.0143828779,9134887.75388194,54119449.6187773,2019-11-13T23:59:59.999Z,Chiliz,2019-11-13
31540,0.0898899318,0.0907545577,0.0889523551,0.0905077835,535470.468703962,78787268.9847553,2019-11-13T23:59:59.999Z,Theta Network,2019-11-13
31541,3.4807145649,3.4967133924,3.4502101926,3.4801205937,1828134783.47345,3271483468.44887,2019-11-13T23:59:59.999Z,EOS,2019-11-13
31542,0.0437219465,0.044043914,0.0433203893,0.0434924802,42332677.955705,1127632601.87537,2019-11-13T23:59:59.999Z,Cardano,2019-11-13
31543,289.043053709,289.661078882,284.08761482,286.493470267,1555824950.62239,5188837230.24591,2019-11-13T23:59:59.999Z,Bitcoin Cash,2019-11-13
31544,6.6935419162,6.8806283331,6.5488759584,6.6715522984,16716431.0217393,80543902.9516396,2019-11-13T23:59:59.999Z,Quant,2019-11-13
31545,0.0479648712,0.0556613504,0.0406265257,0.0406555372,392367.248970312,4342114.14640927,2019-11-13T23:59:59.999Z,THORChain,2019-11-13
31546,0.0298141867,0.0302878511,0.029733037,0.029998441,5413283.36050344,31502608.1148972,2019-11-13T23:59:59.999Z,Decentraland,2019-11-13
31547,0.2418411537,0.2568696957,0.2407137535,0.2554084999,55501381.1031708,346432705.267933,2019-11-13T23:59:59.999Z,Basic Attention Token,2019-11-13
31548,0.0352994828,0.0357753678,0.0345377165,0.034973318,17437942.4525554,407063870.649473,2019-11-13T23:59:59.999Z,Cronos,2019-11-13
31549,5.736469984,6.0098845981,5.5687342096,5.9132427662,4016473.88066824,0.0,2019-11-13T23:59:59.999Z,Filecoin,2019-11-13
31550,0.0148853068,0.0151865946,0.0146946273,0.0149781052,8455896.02510007,35777620.2088514,2019-11-13T23:59:59.999Z,Polygon,2019-11-13
31551,0.00272279315153,0.00272532826373,0.00266530240542,0.00269754132551,80974477.4255422,329198490.502182,2019-11-13T23:59:59.999Z,Dogecoin,2019-11-13
31552,0.3830183385,0.393808979,0.3599939424,0.3774505958,1605886.37405983,108617374.323685,2019-11-13T23:59:59.999Z,Terra Classic,2019-11-13
31553,0.9763521292,0.9846721418,0.9589509808,0.9600897358,10069710.2859651,959608628.013755,2019-11-13T23:59:59.999Z,UNUS SED LEO,2019-11-13
31554,3.8168118673,3.8804799932,3.8045282054,3.8574171895,75337425.0230169,930733230.346439,2019-11-13T23:59:59.999Z,Huobi Token,2019-11-13
31555,0.0149774432,0.0150503723,0.0143640362,0.0145322417,8705423.25506925,34712603.3363037,2019-11-14T23:59:59.999Z,Polygon,2019-11-14
31556,0.0434888583,0.0435496254,0.0423989631,0.0431193675,53295194.2046245,1117958882.30643,2019-11-14T23:59:59.999Z,Cardano,2019-11-14
31557,0.290351464,0.2933889357,0.2797509084,0.2814910075,119857507.15984,121929294.00482,2019-11-14T23:59:59.999Z,Algorand,2019-11-14
31558,286.239929607,287.013881135,277.435783183,279.559822395,1835340820.46282,5063764908.97847,2019-11-14T23:59:59.999Z,Bitcoin Cash,2019-11-14
31559,5.8890839505,5.9856994665,4.8334618421,5.1795913475,3671769.23516915,0.0,2019-11-14T23:59:59.999Z,Filecoin,2019-11-14
31560,3.8557424933,3.8992026097,3.7902886273,3.7962781988,215380010.25172,915981367.24739,2019-11-14T23:59:59.999Z,Huobi Token,2019-11-14
31561,0.0350386844,0.0412673523,0.0345132703,0.0371918233,21372421.5637682,433904604.656835,2019-11-14T23:59:59.999Z,Cronos,2019-11-14
31562,0.0300076671,0.0300609628,0.0294104784,0.0298421173,4661900.38234932,31338446.077956,2019-11-14T23:59:59.999Z,Decentraland,2019-11-14
31563,3.9894577004,4.0168457411,3.818259198,4.0168457411,145523380.340547,765966044.873713,2019-11-14T23:59:59.999Z,Cosmos,2019-11-14
31564,0.0201140697,0.0202526883,0.0192419535,0.0195094969,1002646257.31833,1300933683.13092,2019-11-14T23:59:59.999Z,TRON,2019-11-14
31565,0.0352077841,0.0356310344,0.0334857963,0.03413593,1729182.21476955,23147332.0273548,2019-11-14T23:59:59.999Z,Hedera,2019-11-14
31566,656.794718026,662.154671251,642.229379377,647.945051563,5571038.40524573,647945051.563,2019-11-14T23:59:59.999Z,Maker,2019-11-14
31567,0.960138762,0.966512245,0.9528465826,0.9598348737,9891371.15484746,959353893.596978,2019-11-14T23:59:59.999Z,UNUS SED LEO,2019-11-14
